year,est,lwr,upr,log_est,se,type,prey_group,scenario
2012,0.0030728467072934727,0.00242428332882531,0.003894918871178172,-5.785150880809403,0.12095551440598278,index,Sprat,s1_1
2013,0.0028568281599053932,0.0022669104831232103,0.0036002599996732406,-5.858043304582871,0.11800935752431183,index,Sprat,s1_1
2014,0.0031740102576728033,0.002536976395330857,0.003971003094216153,-5.7527594251021705,0.11429948674525144,index,Sprat,s1_1
2015,0.004223158141246754,0.0034074754537623676,0.005234099240916361,-5.467172056123908,0.10949769668209937,index,Sprat,s1_1
2016,0.005731772807385174,0.004646447410607485,0.007070610428190518,-5.161730405638234,0.10710500045627663,index,Sprat,s1_1
2017,0.006508865761434791,0.005311874986927681,0.00797558933608896,-5.034590068135851,0.1036857486359287,index,Sprat,s1_1
2018,0.006293774014517324,0.005139603040432935,0.007707130499027184,-5.0681943858912035,0.1033616166888426,index,Sprat,s1_1
2019,0.005696953278326955,0.004555181103454131,0.007124914667131422,-5.167823759618622,0.11411752049566827,index,Sprat,s1_1
2020,0.0047458049275984114,0.003699992839555593,0.006087218377839501,-5.3504942242999345,0.12700752271606552,index,Sprat,s1_1
2021,0.004396083494839509,0.003444709471057423,0.00561021190784719,-5.427041249254549,0.12442803248022404,index,Sprat,s1_1
2022,0.004294100899013856,0.0031224321538639715,0.005905429364764002,-5.450513082127218,0.1625692945037468,index,Sprat,s1_1
2023,0.004683695037080587,0.0028308760904065832,0.0077491908864236545,-5.363667942735887,0.2568930367540066,index,Sprat,s1_1
1995,7.413781459564958e-4,4.127911952008126e-4,0.0013315244164413544,-7.206999744406535,0.29876514757013434,index,Herring,s1_1
1996,7.867158822472326e-4,4.6215094465583325e-4,0.0013392201975070215,-7.147643388390974,0.2714211159056056,index,Herring,s1_1
1997,8.121792438399608e-4,4.905261813666012e-4,0.001344750085075405,-7.115789498517618,0.25727126056853183,index,Herring,s1_1
1998,8.249238895559211e-4,5.075381124302652e-4,0.0013407848728868984,-7.100219430969087,0.24782053361465853,index,Herring,s1_1
1999,8.21692701804097e-4,5.106389580883463e-4,0.0013222236288546224,-7.104144074891941,0.24271042033548743,index,Herring,s1_1
2000,8.321827086944269e-4,5.226708706753369e-4,0.0013249792546410441,-7.091458539455824,0.23730031091554185,index,Herring,s1_1
2001,8.868358596397168e-4,5.644488768120028e-4,0.0013933553139213036,-7.027850643917758,0.23051959208698194,index,Herring,s1_1
2002,8.99237365855659e-4,5.793548247710625e-4,0.001395738510455249,-7.013963525133433,0.2243061214320337,index,Herring,s1_1
2003,9.075594936433363e-4,5.967828332764066e-4,0.001380174141370886,-7.004751436240379,0.21388445970026856,index,Herring,s1_1
2004,8.912955665828932e-4,6.041642771904966e-4,0.0013148870547336896,-7.022834460941967,0.1983862749680552,index,Herring,s1_1
2005,8.546306955002093e-4,6.006227158822601e-4,0.0012160606090601978,-7.064841117425819,0.17995354328178773,index,Herring,s1_1
2006,8.639502603582324e-4,6.278430159542367e-4,0.0011888482206632736,-7.053995359847202,0.1628729099161522,index,Herring,s1_1
2007,8.42399841248974e-4,6.27518438433508e-4,0.0011308631732125428,-7.079255785595412,0.15024853525864543,index,Herring,s1_1
2008,8.344080031746833e-4,6.311935383236569e-4,0.0011030479139742925,-7.088788062791251,0.1424056589943302,index,Herring,s1_1
2009,8.617084626468886e-4,6.530447316546457e-4,0.001137045348663723,-7.056593554893053,0.14146758642495122,index,Herring,s1_1
2010,8.757613404461884e-4,6.642876464009488e-4,0.00115455695973787,-7.040416946560086,0.14101195506743913,index,Herring,s1_1
2011,8.970097487837095e-4,6.774095903267025e-4,0.0011877990818301768,-7.016443827755273,0.14326315921463068,index,Herring,s1_1
2012,9.509906357767662e-4,7.185433892529151e-4,0.0012586340683969056,-6.958006342179491,0.14300167025457702,index,Herring,s1_1
2013,0.0010637360028309664,8.180461443329073e-4,0.0013832157165675962,-6.845968036489028,0.13399418426571527,index,Herring,s1_1
2014,0.0012226119928456561,9.64041793340857e-4,0.00155053452596688,-6.70676573112146,0.12123191087093549,index,Herring,s1_1
2015,0.0014676163251522915,0.0011728988559226263,0.0018363882503399803,-6.524115741838084,0.11437005975290715,index,Herring,s1_1
2016,0.001786822066656397,0.0014043034683217336,0.0022735350085732074,-6.3273166187436765,0.12290900973833534,index,Herring,s1_1
2017,0.0019111634272813945,0.0014705533933867814,0.0024837898863134186,-6.260043098133366,0.13371337171583172,index,Herring,s1_1
2018,0.0019120384506240162,0.001471894751834561,0.002483799220092338,-6.25958535439613,0.13348174201750093,index,Herring,s1_1
2019,0.0019135393674748356,0.0014837179912240695,0.0024678765995518738,-6.25880067976699,0.12980009194203124,index,Herring,s1_1
2020,0.0017632347733049422,0.001364606905458255,0.0022783094921740004,-6.340605217498163,0.13075936991314085,index,Herring,s1_1
2021,0.0016774690170471823,0.0012756916798197988,0.002205785573165081,-6.390469159007525,0.13969521717962696,index,Herring,s1_1
2022,0.001524014505596354,0.0010757828940841355,0.0021590045965970256,-6.4864073036551355,0.17770699257261235,index,Herring,s1_1
2023,0.0014361999563703895,8.944536461752768e-4,0.002306067311032134,-6.545754572666564,0.24160796237079188,index,Herring,s1_1
1995,0.009714338335778993,0.008581399395478832,0.010996850857647296,-4.634152305957589,0.06326951622375383,index,Other,s2_1
1996,0.009691932397750586,0.0086432513340914691,0.010867849374235652,-4.636461451108871,0.05842709607522016,index,Other,s2_1
1997,0.009627779918631493,0.00863240452109731,0.010737928920622574,-4.64310261779458,0.05567937585969857,index,Other,s2_1
1998,0.009407680695561199,0.0084762630965788,0.010441447494162504,-4.666228828074321,0.05319320743866508,index,Other,s2_1
1999,0.009271034818710928,0.008372455232984693,0.010266055083952877,-4.680860274705739,0.052015152482379805,index,Other,s2_1
2000,0.009057455971189145,0.00820926842804137,0.009993278863900307,-4.704166996240349,0.05016646808219384,index,Other,s2_1
2001,0.00897982992104951,0.00818332014436245,0.009853866644399549,-4.712774336596886,0.0473901506525879,index,Other,s2_1
2002,0.008721862678737117,0.007978236384920364,0.009534800038079683,-4.741922453925688,0.04546789794030772,index,Other,s2_1
2003,0.008495630480832976,0.007799817107252463,0.00925351662409463,-4.768203308739035,0.043598599405212476,index,Other,s2_1
2004,0.008264435973565853,0.00761566932450142,0.00896847001240313,-4.795793792800545,0.04171179103626438,index,Other,s2_1
2005,0.007956404405669842,0.007359787947400211,0.008601385191936713,-4.833778089006982,0.03976913339163084,index,Other,s2_1
2006,0.007893555034881067,0.0073338427349307084,0.008495984075568664,-4.841708670839555,0.03752465993804926,index,Other,s2_1
2007,0.00765878447509942,0.007137155531170789,0.00821853739628422,-4.871901992534258,0.03598993400861278,index,Other,s2_1
2008,0.007491876745126266,0.006992150049836378,0.008027318745180128,-4.893935946067088,0.03522066482839422,index,Other,s2_1
2009,0.007374415108619261,0.006901712989550827,0.007879492855841181,-4.909738687207107,0.03380008620078,index,Other,s2_1
2010,0.007170790195365155,0.00672735543867632,0.0076434540280604715,-4.937739421884526,0.032568834087021006,index,Other,s2_1
2011,0.006985830744714641,0.0065553318987392915,0.007444601119767222,-4.963871360673038,0.03245221339002906,index,Other,s2_1
2012,0.006833327355177509,0.006403585757158227,0.007291908707683054,-4.985943556358339,0.033140208243485014,index,Other,s2_1
2013,0.006676630952028469,0.006251587351623508,0.007130573142836762,-5.009141767158798,0.03356087386330933,index,Other,s2_1
2014,0.006498124574141945,0.006062375464535526,0.00696519429192144,-5.03624167076757,0.03541488243750913,index,Other,s2_1
2015,0.0062338573329457974,0.0058189440792343426,0.00667835550889766,-5.0777599832139435,0.035141707048350505,index,Other,s2_1
2016,0.005969069970563936,0.005565276170844414,0.006402161405780167,-5.121164147538323,0.035737657484025014,index,Other,s2_1
2017,0.005509144466362545,0.00509295844329125,0.005959340349857511,-5.20134593713553,0.04007749844931045,index,Other,s2_1
2018,0.005117905883387499,0.00468284153552426,0.005593390344838988,-5.275009930747839,0.04532749455893819,index,Other,s2_1
2019,0.004929299619339618,0.0044845952144370324,0.005418102097375563,-5.312558366062406,0.048240006152725515,index,Other,s2_1
2020,0.00470800158048375,0.004272583889707037,0.0051877925522387635,-5.358491753882432,0.04951353965925233,index,Other,s2_1
2021,0.004587141792621388,0.004173499369729929,0.005041780999951463,-5.384498152002398,0.04821632766401185,index,Other,s2_1
2022,0.004466087974676053,0.003999065594706785,0.004987650571160113,-5.411242426995078,0.056354157704296186,index,Other,s2_1
2023,0.004434830119966142,0.00383665946349649,0.005126261108155527,-5.418265968358704,0.07392342673521991,index,Other,s2_1
1995,0.0018578041203896032,0.0012735752768663188,0.002710037021312929,-6.288360069126779,0.19263980814046727,index,Sprat,s2_1
1996,0.0018112468757887172,0.0012472777130326492,0.002630220367746212,-6.313739789223227,0.19033622346162213,index,Sprat,s2_1
1997,0.0017008867022053264,0.0011741936623247214,0.0024638317055903614,-6.37660557436796,0.18906879939878302,index,Sprat,s2_1
1998,0.0016342722395552393,0.001140384854723464,0.0023420564925237986,-6.4165576871471774,0.183591023802216,index,Sprat,s2_1
1999,0.0015349454269620736,0.0010703021546865875,0.0022013012432378944,-6.479260451042685,0.18395941691579218,index,Sprat,s2_1
2000,0.0014405717738077953,0.0010058577656793639,0.002063161518756184,-6.542715179059429,0.18326837996975062,index,Sprat,s2_1
2001,0.0014012228700776455,9.835882346707777e-4,0.0019961864756198747,-6.570409944994491,0.18056110570833733,index,Sprat,s2_1
2002,0.001288383608457331,8.944396740799563e-4,0.0018558348546524191,-6.654366862990108,0.18620048027280314,index,Sprat,s2_1
2003,0.0012778982366184397,8.830225061193701e-4,0.0018493570569669715,-6.66253855325632,0.18858576948374145,index,Sprat,s2_1
2004,0.0013209463896433843,9.34356967463828e-4,0.0018674868653766876,-6.629406837427175,0.17665894164932724,index,Sprat,s2_1
2005,0.0015152021969313833,0.0011232994499136306,0.0020438340798281484,-6.492206385605196,0.15269596981271427,index,Sprat,s2_1
2006,0.002023812125945448,0.0015696849938492301,0.0026093232318415353,-6.202772355014735,0.12964930356016202,index,Sprat,s2_1
2007,0.0026196114627737464,0.0020955480559164907,0.003274734834412731,-5.944729268857409,0.11388519934735661,index,Sprat,s2_1
2008,0.003281305370180762,0.0026589752553452264,0.0040492911360242,-5.719513957044961,0.10729815311848033,index,Sprat,s2_1
2009,0.0036978103512794332,0.002969715904026635,0.00460441396952787,-5.6000144314643965,0.11187682846107423,index,Sprat,s2_1
2010,0.0037020327294160073,0.0029652881002293413,0.004621826232873411,-5.598873223860727,0.11322037655663006,index,Sprat,s2_1
2011,0.003278653001629294,0.0026376532782801517,0.0040754278030438835,-5.720322611169171,0.11099339448459697,index,Sprat,s2_1
2012,0.0029771249266267513,0.0024156448130203327,0.0036691126033799636,-5.81679723389656,0.10663042379734317,index,Sprat,s2_1
2013,0.0030132869042822905,0.002469134307688051,0.0036773609030693118,-5.804723801235785,0.1016160872486719,index,Sprat,s2_1
2014,0.0034240987487582832,0.0028304622529775228,0.0041422393917864226,-5.676916980943779,0.0971437541449108,index,Sprat,s2_1
2015,0.004370893351606928,0.0036512639794989993,0.005232354822436875,-5.432787862481915,0.09178434630339553,index,Sprat,s2_1
2016,0.0056478165588242195,0.004745979993912594,0.006721021142744519,-5.176486258280367,0.08876238513921424,index,Sprat,s2_1
2017,0.006346317589041914,0.005358799999895547,0.007515814537166497,-5.059880541526267,0.08629478367397618,index,Sprat,s2_1
2018,0.00630933146789666,0.005342870509621095,0.007450613579368613,-5.065725556077299,0.08483149029958968,index,Sprat,s2_1
2019,0.006001593110742917,0.005039505556724829,0.007147351949806291,-5.115730326540716,0.08914295383651034,index,Sprat,s2_1
2020,0.005230652347201352,0.004332160922236319,0.006315491152890864,-5.253219276905206,0.09615968853719699,index,Sprat,s2_1
2021,0.004791417227949823,0.003968285802380343,0.005785288710435977,-5.340929039097523,0.09617116831382275,index,Sprat,s2_1
